name,smiles
DB01802,CC1=CCC(N(C)C)CC1
DB09374,CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+]
DB08685,CN1CCN(C)c2cc(CN)ccc21
DB05786,CC1=C(CO)C2=C(C)C3(CC3)C(C)(O)C(=O)C2=C1
DB03850,COC(CC1OC(=O)CC(O)CC(O)CC(=O)C(C)C(OC)c2coc(n2)-c2coc(n2)-c2coc(n2)C=CCCC1C)C(C)CCC(=O)C(C)C(CC=CN(C)CO)OC
DB02265,CC[Si](C)(C)C
DB03833,CC(C)(C)c1nnc(C(=O)C2CCCN2)o1
DB03939,O=C1NC=CC(O)N1
DB05232,NC1=[NH+]C(O)C2C3OC4([O-])OC(C(O)C2(N1)C4O)C3(O)CO
DB06196,NC(N)=NCCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)N1CC(O)CC1C(=O)NCC(=O)NC(Cc1cccs1)C(=O)NC(CO)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NC(CCCN=C(N)N)C(=O)O)CC2CCCCC21
DB08226,CCCCC(C)=CC=C(C)C(=O)c1c(O)cc(CCCC=CNC(=O)OC)oc1=O
DB08746,O=S(=O)(C=Cc1ccc(Cl)cc1)N1CCN(CC2CCN(c3ccncc3)CC2)CC1
DB00819,CC(=O)Nc1nnc(S(N)(=O)=O)s1
DB02371,O=S(=O)(O)CCNC(CO)(CO)CO
DB06730,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC
DB08044,NC1CC(C(=O)N2CCn3c(nnc3C(F)(F)F)C2)=CCC1c1cc(F)c(F)cc1F
DB01204,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
DB01324,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB03730,Cn1cnc2c(N)nc[n+](C)c21
DB06823,CC(S)C(O)=NCC(=O)O
DB03970,O=C(O)C1=CN=C(C(=O)O)CSC1c1cn2c3c(sc2n1)CCC3
DB02205,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)O)C3
DB07124,NC(COc1cncc(C2=NCC3=NN=CC3=C2)c1)CC1=C2C=CCC=C2N=C1
DB00570,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
