name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL444131,13,10,650.740000,0.691700,217.090000,15,48
CHEMBL239007,7,4,562.762000,5.277500,84.550000,11,42
CHEMBL3319214,9,3,511.025000,3.311400,126.490000,10,33
CHEMBL2164500,6,2,528.267000,4.415700,64.680000,6,33
CHEMBL204776,9,5,503.584000,3.836100,142.450000,6,36
CHEMBL365294,7,1,558.506000,6.545100,76.830000,9,38
CHEMBL2113326,8,4,557.702000,5.414700,103.420000,9,42
CHEMBL178838,5,1,383.879000,5.401920,58.370000,6,27
CHEMBL206638,7,5,425.558000,3.621100,123.990000,5,30
CHEMBL383058,7,3,453.612000,4.150000,101.210000,9,32
CHEMBL206588,7,5,431.949000,3.539400,123.990000,6,29
CHEMBL205833,5,5,429.955000,5.358700,89.850000,7,31
CHEMBL252501,10,4,594.716000,4.629600,137.150000,13,44
CHEMBL2163466,17,12,876.076000,2.565200,261.460000,21,64
CHEMBL3319396,12,2,632.168000,3.517100,138.760000,9,42
CHEMBL1077617,10,6,612.793000,5.245400,149.020000,17,43
CHEMBL378118,8,5,419.485000,3.142300,125.380000,7,31
CHEMBL324845,10,1,537.624000,3.777600,115.390000,10,40
CHEMBL2048809,5,0,414.933000,3.852000,42.010000,6,29
CHEMBL186540,5,1,446.378000,6.870300,58.370000,7,30
CHEMBL390308,6,2,472.029000,5.434600,70.670000,8,33
CHEMBL3593814,9,3,549.027000,4.280600,110.810000,8,39
CHEMBL3586029,9,2,530.625000,3.812000,94.180000,7,39
CHEMBL540093,8,3,543.451000,4.078700,116.310000,9,37
CHEMBL209443,8,4,490.633000,4.329500,129.780000,6,35
CHEMBL3581046,9,2,625.777000,6.310500,100.960000,12,47
CHEMBL205486,5,5,359.886000,4.197400,89.850000,5,24
CHEMBL206820,8,6,492.580000,4.074800,136.020000,8,35
CHEMBL301259,14,6,701.721000,0.097100,208.670000,11,48
CHEMBL412362,7,5,524.444000,5.030000,116.150000,8,33
CHEMBL398607,7,4,464.573000,3.892500,101.620000,9,35
CHEMBL3581031,6,3,488.035000,5.265800,81.750000,9,35
CHEMBL2163462,19,13,823.960000,0.343600,295.340000,19,60
CHEMBL399651,8,2,571.681000,6.129500,94.060000,11,43
CHEMBL2170692,15,12,928.192000,4.243000,256.420000,26,68
CHEMBL2048811,8,0,462.550000,3.557020,80.930000,7,34
